udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure
6319,M21178,M,300.9,310.3,1416,50.9,152,0
9006,L56185,L,297.2,307.9,1337,58.1,184,0
1922,L49101,L,298.1,307.9,1665,32.0,7,0
8388,L55567,L,298.8,309.9,1351,47.2,73,0
1635,H31048,H,297.9,307.9,1406,58.5,93,0
6758,L53937,L,301.8,311.2,1822,26.2,204,0
6001,H35414,H,300.4,310.2,1431,43.2,0,0
9672,L56851,L,299.0,310.2,1412,44.1,246,0
5404,L52583,L,302.7,312.3,1858,25.4,2,0
3587,L50766,L,301.8,310.5,1593,34.9,139,0
6352,L53531,L,300.0,309.7,1542,47.1,25,0
8182,L55361,L,299.7,311.2,1835,23.7,183,0
3579,M18438,M,301.7,310.5,1625,35.9,121,0
266,L47445,L,298.0,308.1,1454,37.1,35,0
5972,L53151,L,300.5,310.8,1509,33.0,153,0
7058,L54237,L,300.8,310.6,1666,36.2,144,0
4810,L51989,L,303.4,312.2,1656,32.7,195,0
7469,L54648,L,300.3,311.6,1560,37.7,107,0
6303,L53482,L,301.2,310.6,1437,51.2,112,0
9816,M24675,M,298.4,309.1,1576,38.8,167,0
5474,L52653,L,302.7,312.2,1369,51.8,174,0
5724,M20583,M,302.3,311.8,1475,48.0,180,0
3814,L50993,L,302.0,310.6,1467,44.9,86,0
42,L47221,L,298.8,309.1,1368,50.8,115,0
5994,M20853,M,300.7,310.6,1407,42.4,218,0
6934,L54113,L,300.8,311.4,1492,40.6,20,0
592,H30005,H,297.5,309.3,1525,41.7,235,0
1586,L48765,L,298.2,308.3,1400,48.7,194,0
4017,L51196,L,302.1,310.9,1658,30.3,186,0
7728,M22587,M,300.7,311.9,1657,30.9,116,0
838,L48017,L,296.6,307.4,1465,47.8,187,0
7660,L54839,L,300.5,311.6,1528,42.4,163,0
6631,M21490,M,301.6,310.5,1414,49.3,106,0
7918,L55097,L,300.9,312.1,1474,42.4,171,0
3776,H33189,H,302.5,311.1,1850,23.3,203,0
23,M14882,M,298.9,309.3,1581,30.7,65,0
28,H29441,H,299.1,309.4,1811,24.6,77,0
9609,M24468,M,298.9,310.1,1513,41.5,80,0
6246,L53425,L,300.9,310.4,1445,41.7,180,0
8416,M23275,M,298.7,309.9,1434,53.0,144,0
7166,L54345,L,300.2,310.1,1392,47.9,201,0
4341,M19200,M,301.7,309.9,1533,40.9,106,0
5648,H35061,H,302.5,311.8,2370,14.7,198,0
5331,L52510,L,303.6,312.9,1588,31.9,53,0
9231,L56410,L,298.2,309.2,1922,22.6,132,0
1771,H31184,H,298.4,307.9,1605,31.0,18,0
1271,M16130,M,298.0,309.4,1276,65.9,50,0
2330,L49509,L,299.3,308.7,1484,40.5,213,0
4717,L51896,L,303.4,311.6,1712,30.1,182,0
1891,L49070,L,297.8,307.4,1512,40.8,137,0
3362,L50541,L,301.5,310.6,1519,40.7,208,0
9600,L56779,L,299.0,310.1,1463,37.4,56,0
5471,M20330,M,302.7,312.2,1585,35.5,167,0
8065,L55244,L,300.5,311.8,1596,34.8,87,0
1137,L48316,L,296.9,307.8,1557,38.1,135,0
7433,L54612,L,300.1,311.4,1484,43.1,13,0
639,L47818,L,298.0,309.6,1536,37.3,120,0
7714,M22573,M,300.5,311.4,2072,18.8,75,0
4117,M18976,M,302.0,310.5,1381,58.4,201,0
9230,M24089,M,298.1,309.0,2042,17.8,129,0
696,L47875,L,297.6,309.0,1487,45.4,64,0
3924,M18783,M,302.6,311.4,1718,31.2,154,0
1146,L48325,L,297.0,307.8,1553,33.3,155,0
2351,L49530,L,299.3,308.6,1744,26.4,33,0
8036,L55215,L,300.7,311.7,1910,19.7,13,0
8208,L55387,L,299.2,310.7,1535,42.6,17,0
970,L48149,L,295.9,306.6,1412,41.0,109,0
4467,L51646,L,302.8,310.6,1470,41.1,205,0
4579,L51758,L,303.0,311.2,1641,32.6,63,0
4350,L51529,L,301.9,309.7,1595,31.4,133,0
6279,L53458,L,301.2,310.7,1568,38.3,49,0
9626,M24485,M,299.0,310.1,1487,47.5,123,0
1219,M16078,M,297.0,308.2,1702,30.7,124,0
6478,L53657,L,300.5,309.7,1841,24.6,143,0
3695,M18554,M,302.1,311.3,1511,45.0,204,0
717,H30130,H,297.4,308.6,1420,45.8,120,0
8050,H37463,H,300.6,311.9,1604,30.5,45,0
4548,M19407,M,302.5,310.4,1451,53.6,194,0
9419,L56598,L,298.0,308.4,1432,46.2,11,0
3858,H33271,H,302.4,311.2,1506,40.8,204,0
9559,M24418,M,299.5,310.9,1577,34.6,159,0
8405,L55584,L,298.4,309.5,1545,36.6,117,0
8359,L55538,L,298.7,309.7,1547,37.4,0,0
1693,M16552,M,298.1,307.6,1764,27.7,23,0
6088,M20947,M,300.9,310.8,1599,33.0,7,0
3397,M18256,M,301.4,310.6,1459,35.0,87,0
4007,L51186,L,302.1,311.2,1492,45.0,162,0
4543,M19402,M,302.5,310.4,1581,32.7,181,0
9602,L56781,L,298.9,310.1,2109,18.0,61,0
4315,H33728,H,301.4,310.1,1623,32.3,39,0
7542,M22401,M,300.3,311.5,1528,40.9,76,0
9287,L56466,L,298.2,308.9,1605,32.0,79,0
6743,H36156,H,301.7,311.2,1639,30.0,161,0
5481,H34894,H,302.7,312.1,1478,36.0,191,0
2930,M17789,M,300.8,309.7,1482,39.0,171,0
1815,L48994,L,298.1,307.7,1650,34.1,138,0
3210,L50389,L,300.3,309.2,1587,31.4,43,0
7780,L54959,L,300.5,311.7,1811,26.8,47,0
7772,L54951,L,300.3,311.6,1709,29.5,27,0
8522,L55701,L,298.4,309.5,1376,50.4,202,0
7137,M21996,M,300.5,309.9,1343,63.7,124,0
8363,L55542,L,298.6,309.6,1353,62.5,9,0
2873,L50052,L,300.8,309.6,1680,28.7,22,0
4792,M19651,M,303.7,312.7,1469,48.5,147,0
8606,L55785,L,297.5,308.4,1633,33.3,213,0
9764,M24623,M,298.6,309.6,1635,29.7,9,0
7191,L54370,L,300.3,310.3,1345,46.3,50,0
5349,L52528,L,303.3,312.6,1623,34.6,102,0
2322,M17181,M,299.2,308.8,1314,52.5,193,0
436,L47615,L,297.4,308.3,1493,41.2,43,0
994,M15853,M,296.1,307.1,1485,36.0,169,0
4958,M19817,M,303.8,312.6,1768,23.9,149,0
2035,M16894,M,298.8,308.5,1425,47.4,90,0
777,L47956,L,296.7,307.8,1468,39.2,35,0
4562,L51741,L,302.9,310.8,1610,32.2,17,0
7134,M21993,M,300.5,309.9,1552,41.3,116,0
5674,L52853,L,302.2,311.6,1462,50.0,51,0
8941,H38354,H,297.3,308.3,1935,19.3,24,0
9990,M24849,M,298.8,308.5,1577,33.2,0,0
8207,L55386,L,299.3,310.8,1483,43.5,15,0
6292,M21151,M,301.1,310.5,1547,35.8,81,0
3716,M18575,M,302.4,311.4,1475,45.2,46,0
8458,L55637,L,298.6,309.9,1393,45.5,38,0
6906,M21765,M,301.0,311.5,1550,34.9,162,0
2624,M17483,M,299.6,309.4,1283,62.1,83,0
9715,L56894,L,299.1,310.1,1894,20.1,106,0
7701,M22560,M,300.7,311.6,1348,62.5,36,0
897,L48076,L,295.5,306.1,1573,35.1,129,0
5121,M19980,M,304.2,313.6,1424,43.7,151,0
9565,L56744,L,299.8,311.1,1820,24.9,174,0
5124,M19983,M,304.2,313.5,1532,41.3,161,0
4906,L52085,L,303.6,312.4,1363,53.1,7,0
5906,H35319,H,300.8,310.5,1582,31.1,193,0
3735,M18594,M,302.2,311.2,1873,24.0,99,0
7782,L54961,L,300.4,311.7,1513,40.0,51,0
9433,L56612,L,298.0,308.7,1619,40.1,45,0
9690,L56869,L,299.0,310.1,1362,59.5,46,0
204,L47383,L,298.4,308.5,1490,37.9,110,0
6485,H35898,H,300.6,309.8,1913,22.5,157,0
341,L47520,L,297.4,308.1,1474,39.4,20,0
4423,M19282,M,302.6,310.2,2157,17.2,94,0
73,L47252,L,298.9,309.1,1369,44.4,198,0
9958,L57137,L,298.1,307.8,1606,33.0,130,0
3158,M18017,M,300.4,309.7,1488,42.2,133,0
3652,L50831,L,302.1,311.5,1444,44.9,97,0
8842,L56021,L,297.3,308.7,1506,39.3,187,0
9455,L56634,L,298.4,309.2,1583,35.4,112,0
3108,M17967,M,299.8,309.1,1456,39.4,209,0
3991,H33404,H,302.2,311.2,1692,28.2,122,0
9652,M24511,M,299.1,310.0,1580,36.0,195,0
6480,L53659,L,300.6,309.8,1418,42.7,147,0
6416,L53595,L,300.4,310.1,1503,42.2,196,0
7842,L55021,L,300.1,311.5,1471,47.2,201,0
7243,H36656,H,299.9,310.1,1447,51.4,185,0
8379,M23238,M,298.8,309.9,1331,61.6,46,0
6962,M21821,M,300.7,311.0,1378,41.2,93,0
1919,M16778,M,298.1,307.9,1496,40.0,0,0
3524,L50703,L,301.8,310.9,1521,39.3,197,0
1663,H31076,H,298.2,307.9,1462,45.5,171,0
9389,M24248,M,297.5,307.9,1544,37.9,136,0
113,M14972,M,298.8,308.7,1498,39.5,89,0
2468,M17327,M,298.9,308.6,1574,33.5,128,0
6196,L53375,L,300.9,310.8,1729,30.2,53,0
2131,L49310,L,299.4,309.0,1391,58.2,135,0
3839,L51018,L,302.4,311.1,1880,24.5,156,0
960,L48139,L,295.8,306.5,1505,35.2,86,0
1226,H30639,H,297.1,308.3,1492,41.5,141,0
9342,M24201,M,298.3,308.9,1363,46.1,5,0
6913,M21772,M,300.8,311.2,1634,31.9,178,0
4864,M19723,M,303.6,312.3,1915,22.3,116,0
3901,M18760,M,302.1,311.1,1450,51.6,86,0
4961,L52140,L,303.9,312.7,1339,62.3,156,0
4184,L51363,L,302.3,310.7,1402,50.9,157,0
7520,L54699,L,300.2,311.6,1999,21.0,19,0
9493,L56672,L,299.1,309.9,1586,36.6,215,0
3194,L50373,L,300.0,309.1,1401,44.5,0,0
2212,M17071,M,299.6,309.0,1245,64.0,120,0
6343,M21202,M,300.3,309.8,1444,42.0,3,0
6641,L53820,L,301.4,310.4,1334,43.2,133,0
4527,L51706,L,302.4,310.4,1521,38.5,142,0
5174,M20033,M,304.2,313.5,1739,28.1,80,0
2729,L49908,L,299.7,309.3,1779,25.5,129,0
164,M15023,M,298.4,308.2,1468,43.8,2,0
2049,L49228,L,299.3,309.2,1465,41.5,127,0
4306,L51485,L,301.6,310.1,1687,26.6,16,0
8106,L55285,L,300.4,311.9,1476,48.7,189,0
1501,M16360,M,298.0,308.7,2101,17.4,198,0
2037,L49216,L,299.0,308.7,1892,22.8,96,0
3513,M18372,M,301.8,311.0,1393,49.5,168,0
8490,L55669,L,298.4,309.4,1461,46.3,121,0
1747,L48926,L,298.4,308.0,1526,41.1,162,0
3250,L50429,L,301.1,309.8,1493,38.9,149,0
5610,M20469,M,303.1,312.4,1378,50.1,104,0
8266,H37679,H,299.1,310.6,1791,28.0,168,0
7741,L54920,L,300.5,312.0,1453,45.1,151,0
846,L48025,L,296.3,307.3,1439,41.5,208,0
2205,M17064,M,299.7,309.1,1352,46.1,102,0
8154,L55333,L,299.6,310.8,1507,42.4,108,0
9551,M24410,M,299.5,311.0,1451,43.3,136,0
1042,L48221,L,296.6,307.6,1809,25.1,86,0
8157,L55336,L,299.6,310.8,1644,30.9,114,0
1216,L48395,L,296.8,307.9,1709,28.4,118,0
8851,L56030,L,297.6,309.0,1491,43.2,7,0
8496,L55675,L,298.3,309.4,1668,27.1,136,0
3066,M17925,M,300.1,309.2,1687,27.7,95,0
6525,L53704,L,301.1,310.4,1874,24.8,47,0
3156,L50335,L,300.5,309.8,1367,54.0,129,0
7791,L54970,L,300.1,311.4,1729,29.3,71,0
8413,M23272,M,298.6,309.7,1314,49.7,136,0
6558,M21417,M,301.5,310.6,1638,31.9,137,0
332,M15191,M,297.6,308.4,1391,51.9,218,0
4106,L51285,L,302.0,310.6,1583,35.2,171,0
4483,H33896,H,302.7,310.5,1568,36.9,28,0
4928,M19787,M,303.5,312.3,1543,33.3,71,0
151,L47330,L,298.4,308.3,1422,42.7,186,0
861,H30274,H,296.1,306.9,1541,32.6,33,0
8093,M22952,M,300.2,311.6,1513,40.8,157,0
8508,L55687,L,298.4,309.7,1518,39.8,165,0
958,M15817,M,295.7,306.4,1387,40.1,81,0
2368,M17227,M,299.3,308.5,1496,39.4,80,0
2281,L49460,L,299.4,308.8,1390,57.0,92,0
1574,L48753,L,298.2,308.2,1466,42.4,164,0
2966,M17825,M,300.7,309.5,1838,24.9,66,0
5880,L53059,L,301.4,311.0,1701,28.4,127,0
5731,L52910,L,302.3,311.7,1793,25.3,200,0
6191,L53370,L,300.9,310.9,1749,26.4,40,0
5062,L52241,L,304.0,312.9,1363,62.5,200,1
4154,M19013,M,302.0,310.4,1212,55.6,79,1
4250,L51429,L,302.5,310.9,1330,56.9,97,1
8308,M23167,M,298.7,310.1,1402,69.7,64,1
4152,M19011,M,301.9,310.4,1373,48.0,73,1
78,L47257,L,298.8,308.9,1455,41.3,208,1
4025,M18884,M,302.1,311.0,1351,60.3,207,1
4406,L51585,L,302.4,310.2,1331,45.5,53,1
9660,L56839,L,298.9,309.8,1287,61.9,216,1
6249,L53428,L,300.8,310.1,1405,61.2,189,1
4763,M19622,M,303.7,312.0,2663,11.4,71,1
7850,M22709,M,300.3,311.7,1374,47.9,222,1
1790,L48969,L,298.2,307.9,1313,67.3,67,1
3868,M18727,M,302.7,311.6,2709,9.7,2,1
7565,M22424,M,300.3,311.2,1381,65.2,136,1
7670,L54849,L,300.7,311.8,1336,58.4,189,1
8196,L55375,L,299.4,310.8,1376,53.9,215,1
4171,M19030,M,302.2,310.6,1355,51.5,126,1
9614,L56793,L,299.0,310.2,1377,62.5,92,1
8358,L55537,L,298.5,309.5,1385,46.3,203,1
9085,L56264,L,297.2,307.9,1326,75.4,172,1
4771,L51950,L,303.5,311.9,1344,49.3,93,1
4088,L51267,L,301.9,310.4,1376,54.9,126,1
4622,L51801,L,303.0,311.2,1341,51.0,174,1
1336,L48515,L,299.0,310.4,1371,53.8,228,1
9017,L56196,L,297.3,308.2,1396,52.7,212,1
8583,M23442,M,297.5,308.1,1334,72.0,151,1
4286,L51465,L,301.7,309.9,1317,49.0,187,1
2427,M17286,M,298.9,308.2,1372,63.6,30,1
3001,H32414,H,300.5,309.8,1324,72.8,159,1
9654,L56833,L,299.0,309.9,1373,55.7,201,1
1497,L48676,L,298.0,308.7,1268,69.4,189,1
4732,L51911,L,303.3,311.6,1301,45.1,219,1
3141,H32554,H,300.4,309.9,2563,12.8,81,1
249,L47428,L,298.0,308.3,1362,56.8,216,1
1683,H31096,H,297.9,307.4,1604,36.1,225,1
8927,M23786,M,297.3,308.3,1459,59.6,207,1
4670,M19529,M,303.3,311.5,1373,47.3,60,1
6679,M21538,M,301.5,310.7,1336,65.6,0,1
3936,M18795,M,302.6,311.6,1227,68.2,187,1
3685,L50864,L,302.0,311.2,1270,65.3,182,1
260,M15119,M,298.1,308.2,1420,63.9,19,1
4248,L51427,L,302.6,311.0,1369,60.0,93,1
6619,M21478,M,301.6,310.6,1309,65.8,75,1
6420,H35833,H,300.3,309.9,1394,46.7,210,1
1596,L48775,L,298.0,308.2,1365,52.9,218,1
9665,L56844,L,299.1,310.2,1317,54.8,231,1
4852,L52031,L,303.7,312.1,1363,51.8,90,1
4049,L51228,L,301.9,311.0,2691,12.1,31,1
7885,L55064,L,300.8,312.4,1465,59.1,91,1
1493,M16352,M,298.0,308.7,1479,58.5,176,1
4371,L51550,L,302.0,309.9,1308,57.6,197,1
4384,L51563,L,301.7,309.5,1298,65.5,229,1
4436,L51615,L,302.3,310.1,1321,52.7,134,1
4502,L51681,L,302.5,310.2,1307,54.0,86,1
1086,L48265,L,297.0,307.8,1385,56.4,202,1
7592,M22451,M,300.5,311.1,1296,61.3,202,1
3612,L50791,L,301.7,310.9,1405,46.4,207,1
6257,L53436,L,301.0,310.6,1493,37.8,206,1
7510,L54689,L,300.6,311.9,1372,60.1,212,1
4156,L51335,L,302.0,310.5,1370,44.4,85,1
4937,L52116,L,303.5,312.4,1284,70.6,94,1
7927,L55106,L,300.7,311.9,1335,57.1,194,1
8200,L55379,L,299.2,310.7,1737,27.0,225,1
4685,M19544,M,303.6,311.8,1421,44.8,101,1
3929,L51108,L,302.6,311.5,1442,59.8,169,1
904,L48083,L,295.7,306.2,2270,14.6,149,1
1163,L48342,L,296.9,307.8,1400,57.1,202,1
9975,L57154,L,298.6,308.2,1361,68.2,172,1
5618,L52797,L,303.1,312.4,1404,61.5,127,1
4255,L51434,L,302.6,311.0,1284,68.0,114,1
2865,H32278,H,300.6,309.4,1380,47.6,246,1
250,L47429,L,298.0,308.3,1405,56.2,218,1
4644,L51823,L,303.2,311.4,1324,54.2,228,1
4141,L51320,L,301.7,310.2,1331,61.2,47,1
4121,M18980,M,302.1,310.7,1376,46.3,210,1
4356,H33769,H,302.0,309.8,1280,57.3,147,1
4390,M19249,M,302.1,310.0,1355,45.1,6,1
4756,L51935,L,303.4,311.7,1295,51.3,51,1
4779,H34192,H,303.6,312.2,1371,54.6,112,1
4537,L51716,L,302.4,310.2,1351,45.1,168,1
4120,L51299,L,302.1,310.7,1325,45.1,208,1
4293,M19152,M,301.8,310.1,2372,13.9,205,1
1168,L48347,L,297.0,308.1,1362,52.5,213,1
4354,M19213,M,302.0,309.7,1386,62.7,142,1
3815,M18674,M,302.1,310.6,1326,59.1,88,1
4158,L51337,L,302.0,310.5,1263,60.6,90,1
4834,L52013,L,303.4,311.9,1377,41.6,34,1
4612,L51791,L,303.0,311.3,1365,56.2,146,1
4297,L51476,L,301.8,310.2,2825,5.8,215,1
4666,M19525,M,303.4,311.4,1307,54.0,44,1
4463,L51642,L,302.7,310.5,1263,67.8,197,1
4226,L51405,L,302.1,310.7,1359,49.3,41,1
1145,L48324,L,297.0,307.9,1296,69.1,153,1
4989,L52168,L,303.8,313.1,2497,13.0,5,1
9577,L56756,L,299.6,310.7,1922,23.3,205,1
4985,L52164,L,303.8,313.1,1256,58.7,213,1
4837,L52016,L,303.3,311.8,1315,62.0,42,1
2495,L49674,L,299.1,308.8,1329,53.6,207,1
4580,L51759,L,303.0,311.2,1374,48.2,65,1
2016,L49195,L,298.5,308.2,1301,66.3,42,1
4449,L51628,L,302.4,310.3,1374,51.2,163,1
4633,M19492,M,302.9,311.2,1330,53.7,200,1
381,L47560,L,297.5,308.3,2564,12.8,127,1
4259,M19118,M,302.7,311.1,1297,60.7,125,1
4428,M19287,M,302.4,310.1,1379,48.9,107,1
4252,H33665,H,302.5,310.9,1356,55.5,101,1
4410,M19269,M,302.4,310.1,1358,54.6,61,1
2599,L49778,L,299.1,308.8,1320,67.5,20,1
3866,H33279,H,302.6,311.5,1629,34.4,228,1
4185,L51364,L,302.2,310.6,1334,53.2,159,1
5400,H34813,H,302.8,312.4,1411,53.8,246,1
5942,L53121,L,300.6,310.7,1438,48.5,78,1
7688,M22547,M,300.7,311.7,2097,18.9,232,1
8609,L55788,L,297.4,308.4,1369,50.6,220,1
747,L47926,L,296.8,308.1,1289,62.0,199,1
7594,L54773,L,300.5,311.2,1270,67.5,208,1
4647,L51826,L,303.3,311.4,1497,46.0,234,1
4327,L51506,L,301.6,310.1,1362,55.8,70,1
4442,L51621,L,302.5,310.2,1329,50.6,148,1
6179,L53358,L,301.1,310.9,1282,67.9,10,1
2300,L49479,L,299.4,308.7,1446,62.9,134,1
6341,H35754,H,300.5,309.9,1397,45.9,210,1
4476,L51655,L,302.7,310.5,1351,41.8,10,1
3696,L50875,L,302.2,311.3,1530,37.3,207,1
4528,M19387,M,302.4,310.5,1372,45.7,144,1
9823,L57002,L,298.5,309.4,1360,60.9,187,1
4703,L51882,L,303.6,311.8,1222,66.8,148,1
1420,L48599,L,298.7,309.8,1354,53.3,212,1
4602,M19461,M,303.0,311.1,1372,54.3,117,1
4131,L51310,L,301.9,310.4,1286,62.8,22,1
4496,L51675,L,302.6,310.4,1359,57.2,67,1
208,M15067,M,298.4,308.7,1421,60.7,119,1
5616,M20475,M,303.0,312.2,1257,71.3,122,1
9668,L56847,L,299.2,310.3,1352,48.9,238,1
1785,L48964,L,298.3,308.0,2886,3.8,57,1
4740,L51919,L,303.2,311.4,1351,53.8,8,1
4343,M19202,M,301.7,309.8,1284,68.2,111,1
243,L47422,L,298.0,308.2,1348,58.8,202,1
7084,L54263,L,300.7,310.4,1416,61.8,209,1
6760,L53939,L,301.7,311.0,1441,44.3,208,1
4721,M19580,M,303.4,311.7,1353,44.1,192,1
1584,L48763,L,298.2,308.4,1310,61.0,189,1
4081,L51260,L,302.0,310.4,1357,58.0,108,1
4832,L52011,L,303.5,312.0,1366,54.5,30,1
8246,M23105,M,299.0,310.3,1303,68.6,111,1
4921,L52100,L,303.4,312.2,1337,69.4,52,1
4045,M18904,M,301.9,310.9,1419,47.7,20,1
4730,L51909,L,303.4,311.8,1306,61.0,215,1
7757,L54936,L,300.5,311.8,1368,57.9,191,1
4534,M19393,M,302.4,310.3,1375,52.5,161,1
5401,L52580,L,302.7,312.4,1477,46.3,251,1
4815,L51994,L,303.4,311.8,1401,53.0,208,1
4180,L51359,L,302.4,310.9,1349,46.1,148,1
4254,M19113,M,302.6,311.0,1329,48.6,111,1
464,L47643,L,297.4,308.7,2874,4.2,118,1
3529,L50708,L,302.0,310.9,1378,53.1,212,1
848,L48027,L,296.4,307.4,2833,5.6,213,1
3357,L50536,L,301.6,310.8,1355,57.8,195,1
4165,L51344,L,302.2,310.6,1346,47.5,109,1
6025,L53204,L,300.7,310.9,1356,65.3,66,1
4386,L51565,L,301.8,309.7,1442,45.3,233,1
5735,L52914,L,302.3,311.8,1369,56.2,208,1
4324,L51503,L,301.8,310.3,1341,50.5,64,1
587,L47766,L,297.6,309.6,1501,49.8,222,1
4760,L51939,L,303.5,311.6,1361,46.5,62,1
3855,L51034,L,302.4,311.0,1338,67.6,194,1
4271,L51450,L,302.6,310.9,1331,52.0,154,1
2750,M17609,M,299.7,309.2,1685,28.9,179,1
2245,M17104,M,299.3,308.4,1542,37.5,203,1
4619,M19478,M,303.0,311.3,1335,53.6,164,1
2333,L49512,L,299.2,308.5,1378,50.4,220,1
328,L47507,L,297.7,308.5,1373,56.7,203,1
1438,H30851,H,298.8,309.9,1439,45.2,40,1
5402,M20261,M,302.6,312.3,1454,54.8,253,1
9759,L56938,L,298.6,309.8,2271,16.2,218,1
7511,L54690,L,300.5,311.8,1524,38.9,214,1
1096,L48275,L,296.9,307.5,2721,9.3,18,1
4139,L51318,L,301.7,310.2,1311,57.4,40,1
3580,L50759,L,301.8,310.6,2672,11.8,124,1
4762,H34175,H,303.7,311.9,1332,52.7,66,1
6173,L53352,L,300.8,310.6,1577,37.9,227,1
4174,M19033,M,302.2,310.6,1346,49.2,134,1
1124,H30537,H,296.6,307.7,1386,62.3,100,1
3794,L50973,L,302.3,310.9,1379,49.3,34,1
4283,L51462,L,301.9,309.9,1374,48.5,180,1
1764,L48943,L,298.2,307.6,1511,31.0,209,1
7281,L54460,L,299.9,310.2,1288,69.6,62,1
8691,L55870,L,297.1,308.5,1323,44.4,207,1
162,L47341,L,298.3,308.1,1412,52.3,218,1
1162,L48341,L,297.0,307.8,1316,61.2,200,1
4652,L51831,L,303.2,311.4,1349,51.1,9,1
4284,M19143,M,301.8,309.9,1334,61.0,182,1
3807,M18666,M,302.3,310.9,1360,44.0,67,1
5335,M20194,M,303.4,312.6,2706,9.8,65,1
2126,L49305,L,299.3,308.9,1258,69.4,119,1
3761,L50940,L,302.3,310.9,1377,46.8,166,1
